"","latlon","lat","lon","site_name","id","map","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","mean_temp","median_temp","sd_temp","mean_storm_size_fy","median_storm_size_fy","sd_storm_size_fy","storm_freq_fy","map_reanalysis_fy"
"31","42.283-71.133",42.283,-71.133,"USA_Ma_Arnold",123,1124,10.6328953574701,7.41809586232359,9.98388080061054,7.95921375921376,567.238602697556,17.3909981137588,17.9708953857422,5.19240627430827,11.3565548150068,7.77090360262347,10.540129928815,8.03816221954556,1197.99093730773
"32","9.15-79.85",9.15,-79.85,"PA_FortSherman",125,3100,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318,26.06767810981,26.0281674471768,0.956021586783601,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318
"33","9.167-79.85",9.167,-79.85,"PA_PanamaCity",126,1800,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318,26.06767810981,26.0281674471768,0.956021586783601,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318
"34","-33.9518.917",-33.95,18.917,"SA_Jonkershoek",147,945,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292,16.7946529251638,16.6615829467773,4.28748272569532,12.3316138585237,8.4500215917995,10.8742322044262,5.35603576751118,852.883313421292
"35","-26.567-54.333",-26.567,-54.333,"AR_Iguazu ",160,2000,11.4316801059432,7.49616360355338,11.6799638394467,11.0102790764143,1641.8313192504,20.222263108104,20.9368423461914,4.6713486038487,11.4316801059432,7.49616360355338,11.6799638394467,11.0102790764143,1641.8313192504
"36","10.906-85.602",10.906,-85.602,"CR_SantaRosa",180,1922,14.4571699470989,8.51913025676781,17.0537946739673,10.6,1962.78831888388,26.6516925116364,26.5845471468838,1.07351205258482,14.4571699470989,8.51913025676781,17.0537946739673,10.6,1962.78831888388
"37","48.7516.338",48.751,6.338,"FR_Champenoux",206,766,7.97139119222522,5.96835581575182,6.20597145210661,7.28030303030303,395.694468061698,15.0602050488405,15.2047157981179,4.06330219028846,7.41687906883752,5.63236411010042,5.54080788184885,7.80148214686728,816.086957043538
"38","44.452-73.183",44.452,-73.183,"USA_Vt_Burlington_2",207,871,10.1018677679181,7.26363901313479,8.60482235720544,8.51204819277109,515.229983224878,16.7600238695594,17.3099484530362,4.98795480315426,8.88428984498757,6.31137947906444,7.53835377676527,8.01202457995631,996.50875817218
"39","45.7173.05",45.717,3.05,"FR_Clermont_2",218,786,9.21499557172089,6.59540008658289,7.91438773803004,7.46815459989113,424.628024127132,15.8957951129878,15.9135844837535,3.9687689820758,7.52004852191294,5.38801044072236,6.39840580339794,7.29510646550844,793.219182552673
"40","46.633-114.583",46.633,-114.583,"USA_Id_1",220,464,10.1901428276439,7.55592636266639,8.23045063317824,3.75385934819897,139.917602142104,14.5913088711825,14.7003918734464,3.94456873538979,7.08145369489217,5.3177305028922,5.42421766859606,7.54836167650001,757.6114269581
"41","5.181-52.68",5.181,-52.68,"GF_Kourou",222,2654,14.1065711946142,9.46169700134884,14.7353616060334,16.9147398076884,3036.08769419349,26.2453646839351,26.1787332708185,0.748185149998996,14.1065711946142,9.46169700134884,14.7353616060334,16.9147398076884,3036.08769419349
"42","43.63.85",43.6,3.85,"FR_Montpellier_1",226,742,15.217459714732,9.34520021239719,16.5936006803669,5.45454545454546,766.590892553692,15.8331565237194,15.9920379638672,5.42260841836139,14.6599406486999,8.8368097923442,16.0972789932061,5.8366474082845,1107.39824198233
"43","43.953.217",43.95,3.217,"FR_Larzac",228,768,14.6411275589873,9.22299093688542,15.1861254446001,4.66872110939907,429.130954379634,17.2813997289249,17.3807153875177,3.93176586076204,13.2521785586028,8.25556698122951,14.1221777714653,6.00920115141988,1048.45443055395
"44","38.583-109.533",38.583,-109.533,"USA_Ut_1",229,240,8.89576763878348,6.28759239509236,7.47910887253875,1.82479338842975,138.794344570124,17.1440913201955,17.7750004161488,6.38734837386083,7.1310507788179,4.881110001112,6.25160658232921,1.93546536553498,221.264884173198
"45","47.6-112.758",47.6,-112.758,"USA_Mt_4",230,451,9.32867997120085,6.57829967824827,7.96731367962408,4.86730205278592,207.1354031455,13.5832021830718,13.8282903497869,3.90823655926024,7.30299723790452,4.95509316472718,6.61520728253893,3.53574505440663,422.791565281575
"46","46.217-113.227",46.217,-113.227,"USA_Mt_5",236,470,8.4595535344662,6.71341912106568,6.02515869123279,3.69775678866588,86.277138899786,15.2871776486231,15.4461983420632,3.31271759784802,6.30111009753652,4.52763213765469,4.89332290770451,3.6021619745626,398.820044895664
"47","47.26711.383",47.267,11.383,"AT_Tyrol_Innsbruck",239,897,8.52119331241505,6.47616515703372,6.41012200522202,12.9080399369417,686.07869575271,8.8276847562725,9.0533913352273,4.10239005677047,7.8662612241756,5.88890318171418,5.99067105428186,10.5022048465794,1130.76774981187
"48","47.617-112.69",47.617,-112.69,"USA_Mt_1",243,429,9.32010123743228,6.50999247276394,8.02899085062272,4.91335227272727,216.062804168147,13.4308600230651,13.6750629771839,3.98715689390722,7.30299723790452,4.95509316472718,6.61520728253893,3.53574505440663,422.791565281575
"49","44.75-0.783",44.75,-0.783,"FR_Pierroton",247,993,9.92140428391638,7.20019792534665,8.30974638309146,6.48685199098422,565.492502020106,15.8540067310176,16.1824738935991,4.24675884682764,9.51340942247563,7.11957601153038,7.57425450817261,7.43333197231693,937.515283683483
"50","46.933-113.95",46.933,-113.95,"USA_Mt_2",249,397,7.43700956409745,5.60077799145471,5.47017187735431,4.02467532467532,163.566817714167,14.8955667411507,15.0842247702858,4.40260668980518,5.77393796620172,4.27737777036699,4.27539883600002,3.5842537206786,383.18851213826
"51","42.90.083",42.9,0.083,"FR_Barèges",251,1148,10.8742844327008,7.55492084717844,9.70320070119696,7.62133142448103,375.195411358584,12.2068277237496,12.2856242786754,3.80826334114408,9.45701535141913,6.73984656740107,8.22591040186031,9.76149276279526,1232.60068870471
"52","45.7763.144",45.776,3.144,"FR_Clermont_1",256,618,8.82990514140507,6.30717202322558,7.55077859842434,7.60227272727273,501.828205713817,14.8638012972745,15.0613866632635,4.52903716864719,7.52004852191294,5.38801044072236,6.39840580339794,7.29510646550844,793.219182552673
"53","46.3-114.217",46.3,-114.217,"USA_Mt_3",257,366,7.33644940208739,5.59143888065591,5.31787963040213,3.96837944664032,157.52512630202,14.9228380306279,15.0872912320224,4.48237761452044,5.60271771621494,4.23059691098222,4.00652782840549,4.26071494191863,424.910980664346
"54","48.446.14",48.44,6.14,"FR_Nancy",270,720,9.09283583035903,6.44017238709652,7.86291287036163,8.41818181818182,500.141652103967,15.1196677622169,15.2490904374556,4.10207621860604,8.77757887049353,6.40776221497535,7.19362782700071,8.98653206214401,1058.66966649351
"55","43.6233.879",43.623,3.879,"FR_Montpellier_2",299,745,15.217459714732,9.34520021239719,16.5936006803669,5.45454545454546,766.590892553692,15.8331565237194,15.9920379638672,5.42260841836139,14.6599406486999,8.8368097923442,16.0972789932061,5.8366474082845,1107.39824198233
"56","44.1525.253",44.152,5.253,"FR_MontVentoux",300,954,14.0908364989491,9.37294596398715,13.4386421027146,4.3034238488784,332.336856700301,16.5168797498611,16.5966096357866,3.57763850691362,11.616237505058,7.71381723853251,11.1686913438555,5.62170753118429,866.080462169751
"57","38.327-0.529",38.327,-0.529,"ES_Alicante_1",306,319,8.3321087776967,5.68722344728568,7.43570000280798,2.49317722475144,306.991797740767,16.9656950974039,16.4477962147106,5.90036570586098,8.3321087776967,5.68722344728568,7.43570000280798,2.49317722475144,306.991797740767
"58","47.077-0.745",47.077,-0.745,"FR_Toutlemonde",318,786,7.74905310147202,5.79716399253812,5.99480187757666,5.83719851576994,343.743994001499,15.7561302567236,15.8722879583185,4.04744966676462,7.61815688574931,5.83384603494778,5.64667054662038,6.88383112508421,738.749589545504
"59","-42.905147.325",-42.905,147.325,"AU_Tas_Hobart",322,671,6.24992140881262,4.61470357735049,4.66009238896968,6.24453114453115,460.552270799954,12.2241131047314,12.0169231068004,3.81994115857339,6.08288616718832,4.5198947071119,4.58929029124151,6.3707449523304,650.656853325345
"60","43.507-1.5",43.507,-1.5,"FR_Biarrtiz",339,1375,13.3967218380391,8.82399492442015,12.9894718965188,8.47680890538033,1170.64847815805,13.6023507046862,13.6001310868697,4.30034297162925,12.9651902424412,8.74685395974666,12.2915550330468,8.97454422963069,1490.49512781858
"61","48.257.25",48.25,7.25,"FR_Vosges",364,867,9.53473430041006,6.96294967624867,7.85252314715052,8.9951871657754,518.696531800394,14.75935420888,14.9000596479936,3.98091800610334,9.12945742076016,6.77762181667442,7.30737516980729,9.42479635792009,1140.32375322278
"62","54.33310.133",54.333,10.133,"DE_Kiel",383,775,8.77070620515462,6.44140770150857,7.08286154316468,7.72002230897937,407.631912706431,14.5967570622408,14.6800154252486,3.34171352756319,7.7097563703017,5.79345231436574,5.88470891712101,8.25862646224201,894.234431917932
"63","35-79",35,-79,"USA_Nc_2",392,1210,9.81762088544307,6.90692357528447,9.11227580244543,9.79191919191919,933.379649797893,18.9360270593303,20.3380580555309,6.7274982830097,10.1906088030356,7.12794461652679,9.33872418579887,9.19035583773962,1225.49218956165
"64","40.733-110.983",40.733,-110.983,"USA_Ut_Wasatch_2",400,680,13.8566972522635,11.5268060458104,9.97974936117435,2.34090909090909,74.4524493960022,11.4974435864073,11.6120667891069,2.67144904744612,6.66838357596094,4.79290324691895,5.61235097519866,4.67578547659392,479.77688069133
"65","40.759-111.85",40.759,-111.85,"USA_Ut_UofUtah",404,511,10.6233637913447,7.08520959464791,9.31202977729103,3.02604698672114,199.271158364001,14.6735599615236,15.1915299849076,5.17975929628664,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"66","40.2210527777778112.744411111111",40.2210527777778,112.744411111111,"",409,NA,9.18362397221011,6.34383498918561,8.19048883435949,7.11380985426787,324.764280177086,18.5367502375331,18.9528381347656,3.41006802479935,8.46680941579235,5.80337412269066,7.65201195654657,3.38772227099198,421.55942842667
"67","40.75-111.9",40.75,-111.9,"USA_Ut_SaltLake",418,422,10.2881781469517,6.97630239804064,9.01104809019407,3.1684911946692,219.619366967548,14.1265468955097,14.6423597856001,5.48659731224825,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"68","-29.88331",-29.883,31,"SA_Natal_Durban",425,972,8.48554695584372,5.72720877011307,8.07803668302264,7.74038748137109,929.633508668036,19.0070526106745,19.1912157925692,3.73433444727687,8.48554695584372,5.72720877011307,8.07803668302264,7.74038748137109,929.633508668036
"69","42.673-84.474",42.673,-84.474,"USA_Mi_Ingham",434,785,9.69630096796493,6.73466982732696,8.61046833348445,7.7475876079228,484.918437801389,17.3284098968584,18.0528628262606,5.38318624079993,8.7176964194838,6.09953305424741,7.62069019418861,7.14136741318417,866.430005033943
"70","30.917-99.9",30.917,-99.9,"USA_Tx_Menard",453,700,10.906753207983,6.56729392125271,12.3054136847681,4.73363636363636,572.939459038807,20.7473842301802,21.9540416370738,6.66823824444773,10.5363171594864,6.42402366385795,11.829728623592,4.41825327154319,637.178482834177
"71","30.367-97.75",30.367,-97.75,"USA_Tx_Austin",456,700,10.9777488037869,6.66418560489547,12.5599866748851,6.18368983957219,850.140344159197,20.9746980563077,22.2183307994495,7.40792989257335,10.8431163631059,6.63582297904544,12.3436181437945,6.10879488802238,894.06056709279
"72","46.917-114.083",46.917,-114.083,"USA_Mt_Missoula_1",465,357,7.7107457080348,5.65854365688706,6.08043028725007,4.19966536530954,203.671146774351,13.9118995117596,14.184404962713,4.95498453495445,5.87695298399065,4.38004279747309,4.463964505437,4.90369720106976,483.211008572153
"73","40.25-111.617",40.25,-111.617,"USA_Ut_2",476,683,10.8722932898304,7.75850731218022,8.8445877336232,2.41031941031941,133.151866348166,18.1672760234711,18.6083930275657,4.45408937175494,7.37853992685309,5.42877617350314,6.05747563461863,4.31363330134945,458.74471965314
"74","41.2170.917",41.217,0.917,"ES_Prades_1",492,709,11.1485889028727,7.47122494323941,10.569437885436,3.50181818181818,325.264258505313,18.5870277555832,18.9436878551136,4.69646831254552,10.231945223502,6.70223900000565,9.92808477195916,3.50639405508033,495.026294941021
"75","37.367-2.85",37.367,-2.85,"ES_Granada",514,783,9.69342985679171,7.68952537764562,7.24461479485523,1.67588932806324,81.1265246772428,19.6118205174784,19.9873779296875,3.64730315728354,8.88102289531449,6.42018020073672,7.29906609036696,3.78035032562318,465.102296169208
"76","40.615.8",40.6,15.8,"ES_Potenza",515,685,9.89044621685169,6.75796962602445,8.98500478912223,3.63024022609515,255.006528535869,16.9870474054855,17.3114266135476,4.24088612628772,8.38824163557788,5.87430420141159,7.30503979647563,5.12453708429455,607.730046618163
"77","41.3331.017",41.333,1.017,"ES_Prades_3",516,709,12.0832899752092,7.90094210480509,11.6455396950079,3.80327868852459,306.413633936525,19.5715658097852,20.0116879549893,3.49886255239521,10.5683195462783,6.89492329547647,10.4756620690454,3.88791621582998,560.019706224985
"78","42.21.817",42.2,1.817,"ES_Vallcebre",517,940,9.54693168992614,6.85933585723185,8.04854155546918,6.97700534759359,417.242586803236,14.186850791564,14.3651009299538,3.924580124695,8.51442178879021,6.08161358443216,7.28704920860209,6.1913725169957,745.917944384845
"79","45.72.983333333",45.7,2.983333333,"FR_Fonfreyde",518,931,10.0636122441388,7.16186452133115,8.69213665998854,8.24363636363637,448.713510809452,13.6006335245769,13.5789796309038,3.82400339702075,8.4830264911512,6.22837152459066,6.92946670552817,9.47326215217524,1088.22012731853
"80","46.37.616666667",46.3,7.616666667,"CH_Pfyn",519,703,7.89522090289527,5.92839125670831,6.13717801172544,8.93336776859504,476.39680541089,5.307551191661,5.44863725142048,3.81907140015541,7.94059943957428,5.82015312313822,6.55372175930452,8.69743992813834,977.011513993666
"81","46.3177.583333333",46.317,7.583333333,"CH_Salgesch",520,738,7.91620837805937,5.99802156227683,6.08671816885211,8.93572669368848,425.139422492299,5.85137726695953,5.94632623845883,3.52732549619458,7.94059943957428,5.82015312313822,6.55372175930452,8.69743992813834,977.011513993666
"82","46.3177.733333333",46.317,7.733333333,"CH_Jeizinen",521,694,7.94211368898006,6.02658531094097,6.1010425008917,8.93181818181818,412.217476986053,5.98006309436271,6.09109053178269,3.47286307788808,7.94059943957428,5.82015312313822,6.55372175930452,8.69743992813834,977.011513993666
"83","52.1675.733333333",52.167,5.733333333,"NL_Kootwijk",522,785,7.76402043867829,6.03780795539602,5.47922263704073,8.4941594718131,447.218889157263,14.4544062547117,14.475620061701,3.81445865095658,7.35419669488679,5.78342504407787,5.09137898549892,8.74608129350999,907.5613315679
"84","52.35.716666667",52.3,5.716666667,"NL_Leuvenumse",523,785,7.75622685402737,6.04019548479383,5.47321200352471,8.48484848484848,449.084879985425,14.4255402397387,14.4578887939453,3.83129792674607,7.35419669488679,5.78342504407787,5.09137898549892,8.74608129350999,907.5613315679
"85","55.867-3.45",55.867,-3.45,"UK_Edinburgh_1",524,851,6.40636218908629,5.00777229031717,4.26593253630814,9.95168467895741,370.411647716845,12.3368456627712,12.4026064786044,2.56726793902142,6.90623638006544,5.36013995069714,4.85231232282866,10.5544821672825,1043.82327168744
"86","61.8524.3",61.85,24.3,"FI_Hyytiala",525,585,7.9215262403799,6.23048085671723,5.55297680499479,7.69967532467532,256.212467413367,14.0353023058409,14.1338324806907,3.46644694588017,6.34498943782168,4.9706186929887,4.31816462949806,7.19440826409162,694.553687067408
"87","37.017-2.417",37.017,-2.417,"ES_Almería",526,242,7.94355444838484,5.63976605544502,6.52845620752291,2.90008370250903,333.407428604347,14.6342451548564,13.6968315818093,6.53069301318041,7.94355444838484,5.63976605544502,6.52845620752291,2.90008370250903,333.407428604347
"88","38.167-0.633",38.167,-0.633,"ES_Alicante_2",533,312,8.3321087776967,5.68722344728568,7.43570000280798,2.49317722475144,306.991797740767,16.9656950974039,16.4477962147106,5.90036570586098,8.3321087776967,5.68722344728568,7.43570000280798,2.49317722475144,306.991797740767
"89","38.233-4.2",38.233,-4.2,"ES_Cardeña",538,770,9.40373224279486,6.79313758954363,7.55980625604652,4.07834928229665,429.76301804318,16.8693547344664,16.2372755570845,7.01573372140003,9.29574835890647,6.74641481531911,7.44811282406273,4.41955984729396,555.557199311815
"90","34.5-118.4",34.5,-118.4,"USA_Ca_ColdCreek",542,433,8.56060197401835,6.38823812314182,6.84090149736539,1.17037279267495,111.910709890146,15.6453587234527,15.7759008234197,5.62060697973567,9.83521686076756,6.73541373456828,8.57071632997117,1.83172733397301,255.787974280771
"91","35.2-117.6",35.2,-117.6,"USA_Ca_Mojave",543,138,7.40226494038058,6.01936594333175,4.94570615922385,0.753896103896104,68.1161776259734,19.3147220046799,19.5065865256569,6.35629423126381,7.70189771658382,6.08114437549375,5.44851421362351,1.15969622113795,137.853660653455
"92","34.2-118.4",34.2,-118.4,"USA_Ca_Malibu_1",545,406,15.6726255855764,9.72290665990758,16.5389080592772,2.44996427331931,504.135439728849,13.3860946743245,12.9976826060902,5.29726283368736,15.6726255855764,9.72290665990758,16.5389080592772,2.44996427331931,504.135439728849
"93","-33.93519.521",-33.935,19.521,"SA_Jonaskop_1",564,703,6.66709835169152,5.03150576392231,4.96746552788776,2.27998596121786,188.371571272362,17.591404179269,17.8340402776544,4.08425610701997,6.95582777658539,5.24083850788884,5.17481394615152,3.04358246738664,335.996003986831
"94","34.098-118.653",34.098,-118.653,"USA_Ca_SantaMonica_2",611,380,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622,14.7370355142038,14.5330334750089,4.69334350416508,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622
"95","34.089-118.655",34.089,-118.655,"USA_Ca_SantaMonica_6",613,380,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622,14.7370355142038,14.5330334750089,4.69334350416508,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622
"96","34.084-118.704",34.084,-118.704,"USA_Ca_SantaMonica_8",615,380,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622,14.7370355142038,14.5330334750089,4.69334350416508,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622
"97","34.084-118.651",34.084,-118.651,"USA_Ca_SantaMonica_10",617,380,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622,14.7370355142038,14.5330334750089,4.69334350416508,15.9651866817596,9.97460243212779,16.6019958116247,2.32004573015128,484.009029616622
