"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","sd_map","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","a_m","mean_temp"
"46","","","","Hymenaea stigonocarpa",-3.17,NA,NA,3.59,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15373158788919,1.27815220250019,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"47","","","","Hymenaea martiana",-2.8,NA,NA,2.94,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02961941718116,1.07840958135059,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"48","","","","Myrsine guianensis",-2.12,NA,NA,2,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.751416088683921,0.693147180559945,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"49","","","","Myrsine ferruginea",-3.08,NA,NA,3.25,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12492959698548,1.17865499634165,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"50","","","","Symplocos lanceolata",-1.5,NA,NA,1.62,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.405465108108164,0.482426149244293,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"51","","","","Miconia cuspidata",-3.4,NA,NA,5.37,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22377543162212,1.68082790852077,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"52","Winteraceae","Zygogynum","semecarpoides","Zygogynum semecarpoides",-3.27,-2.25,-4.15,NA,"North Queensland","Australia",-16.083,145.4,27,"TRR","AU_Qld_Nth_3",2500,516,542,494,255,108,62,40,39,38,45,117,243,1690,0.0803175742118294,-1.18478998490916,NA,18.325725288744,9.60110092017038,24.0270486242168,9.67714104893534,2260.43632628258,NA,22.380992950551
"53","Winteraceae","Drimys","insipida","Drimys insipida",-4.68,-4.08,-6,NA,"North Queensland","Australia",-16.31,145.15,27,"TRR","AU_Qld_Nth_1",3100,675,701,588,226,86,65,44,50,45,72,189,360,1196,0.0831620681996036,-1.54329810992956,NA,18.325725288744,9.60110092017038,24.0270486242168,9.67714104893534,2260.43632628258,NA,22.380992950551
"54","Winteraceae","Zygogynum","queenslandianum","Zygogynum queenslandianum",-3.6,-1.37,-5.98,NA,"North Queensland","Australia",-16.35,145.17,27,"TRR","AU_Qld_Nth_2",3100,667,690,601,236,99,72,47,51,45,70,182,340,1219,0.0820981521162165,-1.28093384546206,NA,18.325725288744,9.60110092017038,24.0270486242168,9.67714104893534,2260.43632628258,NA,22.380992950551
"55","Austrobaileyaceae","Austrobaileya","scandens","Austrobaileya scandens",NA,NA,NA,2.3,"Bartle Frere","Australia",-16.533,145.583,NA,"TRR","AU_Qld_BartleFrere",3000,652,668,617,270,110,68,40,38,40,56,156,284,1459,0.0843820626174929,NA,0.832909122935104,16.7408767705993,8.76598763300783,22.4975439957379,9.17475654819019,1969.4875057689,4.29,23.5502616686726
"56","Cactaceae","Pereskia","weberiana","Pereskia weberiana",NA,NA,NA,1.91,"Bolivia","Bolivia",-16.541,-67.391,NA,"TRS","BO_3",1433,204,218,176,99,45,30,28,48,93,108,134,251,996,0.0539874088217404,NA,0.647103242058538,6.44448501875591,4.89870368111455,4.5441423527734,10.4278770185575,1026.02082774248,NA,14.2189800626427
"57","Austrobaileyaceae","Austrobaileya","scandens","Austrobaileya scandens",-0.499,-0.128,-1.973,NA,"Queensland","Australia",-16.5561111111111,145.274944444444,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.695149183230618,NA,14.6495893427409,8.36674483540595,17.675880179306,6.15195884286385,1195.68911299648,NA,22.3193191166448
"58","Himantandraceae","Galbulimima","baccata","Galbulimima baccata",-1.3,-0.302,-3.598,NA,"Queensland","Australia",-16.82,145.645,NA,"","AU_Qld_3",1749,359,366,359,171,85,47,28,26,27,35,87,159,1749,0.0793260005634782,-0.262364264467491,NA,16.7408767705993,8.76598763300783,22.4975439957379,9.17475654819019,1969.4875057689,NA,23.5502616686726
"59","Cactaceae","Pereskia","diaz-romeroana","Pereskia diaz-romeroana",NA,NA,NA,1.69,"Bolivia","Bolivia",-18.101,-64.456,NA,"TRS","BO_1",482,94,87,64,24,12,8,7,11,13,23,51,86,501,0.0711854940277843,NA,0.524728528934982,8.12932277683801,5.37531642936466,7.85494592956135,5.47198211624441,683.022975885513,NA,17.8047366688568
"60","Cactaceae","Pereskia","sacharosa","Pereskia sacharosa",NA,NA,NA,2.01,"Bolivia","Bolivia",-18.274,-64.158,NA,"TRS","BO_2",533,95,83,68,35,16,15,9,13,18,28,54,99,667,0.0636113238751157,NA,0.698134722070984,8.12932277683801,5.37531642936466,7.85494592956135,5.47198211624441,683.022975885513,NA,17.8047366688568
"61","Myrtaceae","Corymbia","intermedia","Corymbia intermedia",NA,NA,NA,9.06,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,2.20386912005489,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,8.656,21.544519297069
"62","Myrtaceae","Corymbia","trachyphloia","Corymbia trachyphloia",NA,NA,NA,8.03,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,2.08318452795867,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,13.454,21.544519297069
"63","Pittosporaceae","Bursaria","incana","Bursaria incana",NA,NA,NA,NA,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,NA,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,5.06,21.544519297069
"64","Myrtaceae","Corymbia","citriodora","Corymbia citriodora",NA,NA,NA,11.91,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,2.47737838336721,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,16.1,21.544519297069
"65","Mimosaceae","Acacia","flavescens","Acacia flavescens",NA,NA,NA,5.78,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,1.75440368268429,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,15.2,21.544519297069
"66","Mimosaceae","Acacia","leptostachya","Acacia leptostachya",NA,NA,NA,0.28,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,-1.27296567581289,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,9.738,21.544519297069
"67","Rubiaceae","Pogonolobus","reticulatus","Pogonolobus reticulatus",NA,NA,NA,NA,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,NA,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,10.622,21.544519297069
"68","Proteaceae","Xylomelum","scottianum","Xylomelum scottianum",NA,NA,NA,1.23,"Girringun National Park, Queensland","Australia",-18.296,145.4927,NA,"WDS","",1139,149.2,218,151,76.1,52.6,36.5,27.7,22,16.2,26.7,64.5,92.8,NA,0.0560842620324309,NA,0.207014169384326,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,9.842,21.544519297069
